,label
human2_lib3.final_cell_0331,1
human1_lib2.final_cell_0529,6
human3_lib1.final_cell_0741,6
human3_lib4.final_cell_0391,4
human2_lib2.final_cell_0276,5
human1_lib1.final_cell_0519,5
human1_lib2.final_cell_0212,4
human4_lib3.final_cell_0165,1
human4_lib1.final_cell_0293,6
human2_lib2.final_cell_0499,4
human1_lib2.final_cell_0160,4
human4_lib1.final_cell_0421,5
human3_lib4.final_cell_0319,5
human1_lib2.final_cell_0539,2
human3_lib4.final_cell_0826,4
human3_lib1.final_cell_0746,5
human2_lib2.final_cell_0060,5
human1_lib3.final_cell_0185,5
human4_lib1.final_cell_0514,6
human4_lib1.final_cell_0519,5
human3_lib1.final_cell_0742,5
human1_lib3.final_cell_0578,4
human3_lib1.final_cell_0849,1
human2_lib3.final_cell_0225,5
human4_lib3.final_cell_0640,5
human2_lib1.final_cell_0230,5
human1_lib3.final_cell_0399,6
human3_lib2.final_cell_0707,5
human3_lib1.final_cell_0258,5
human1_lib1.final_cell_0204,6
human4_lib3.final_cell_0109,5
human3_lib3.final_cell_0832,6
human3_lib3.final_cell_0114,5
human1_lib3.final_cell_0166,6
human3_lib1.final_cell_0867,6
human1_lib3.final_cell_0667,6
human4_lib3.final_cell_0385,8
human3_lib1.final_cell_0375,5
human4_lib3.final_cell_0266,6
human3_lib3.final_cell_0533,5
human4_lib3.final_cell_0606,6
human3_lib1.final_cell_0631,5
human3_lib1.final_cell_0245,6
human1_lib1.final_cell_0331,6
human3_lib2.final_cell_0808,6
human1_lib1.final_cell_0044,8
human4_lib1.final_cell_0368,6
human4_lib3.final_cell_0088,5
human1_lib1.final_cell_0326,5
human2_lib2.final_cell_0502,5
human2_lib3.final_cell_0222,5
human2_lib2.final_cell_0294,5
human2_lib2.final_cell_0142,6
human1_lib3.final_cell_0169,6
human1_lib2.final_cell_0519,3
human3_lib3.final_cell_0900,6
human3_lib2.final_cell_0281,4
human3_lib3.final_cell_0609,5
human3_lib1.final_cell_0556,7
human1_lib1.final_cell_0205,5
human3_lib3.final_cell_0783,5
human3_lib4.final_cell_0240,6
human2_lib2.final_cell_0448,8
human2_lib2.final_cell_0036,4
human1_lib1.final_cell_0057,6
human2_lib1.final_cell_0547,4
human2_lib2.final_cell_0295,5
human2_lib2.final_cell_0151,1
human1_lib2.final_cell_0287,7
human2_lib3.final_cell_0207,5
human2_lib3.final_cell_0238,4
human3_lib3.final_cell_0175,8
human1_lib3.final_cell_0192,6
human4_lib1.final_cell_0333,5
human3_lib2.final_cell_0661,5
human1_lib1.final_cell_0360,3
human2_lib2.final_cell_0305,5
human3_lib4.final_cell_0408,5
human1_lib2.final_cell_0470,2
human3_lib3.final_cell_0181,6
human2_lib3.final_cell_0033,1
human3_lib2.final_cell_0705,4
human3_lib4.final_cell_0640,5
human1_lib2.final_cell_0302,5
human3_lib3.final_cell_0709,6
human1_lib2.final_cell_0140,6
human4_lib3.final_cell_0514,6
human1_lib3.final_cell_0005,8
human3_lib1.final_cell_0187,5
human4_lib1.final_cell_0038,6
human2_lib3.final_cell_0177,5
human1_lib3.final_cell_0364,6
human2_lib3.final_cell_0087,1
human3_lib2.final_cell_0754,4
human2_lib1.final_cell_0541,2
human3_lib2.final_cell_0759,6
human3_lib3.final_cell_0275,6
human1_lib2.final_cell_0440,6
human3_lib1.final_cell_0584,1
human3_lib4.final_cell_0104,1
human2_lib1.final_cell_0446,4
human3_lib1.final_cell_0237,5
human3_lib4.final_cell_0067,1
human3_lib4.final_cell_0223,6
human2_lib2.final_cell_0317,5
human3_lib2.final_cell_0230,6
human2_lib3.final_cell_0533,5
human3_lib3.final_cell_0369,5
human4_lib3.final_cell_0437,6
