,label
mouse1_lib1.final_cell_0001,6
mouse1_lib1.final_cell_0002,4
mouse1_lib1.final_cell_0003,1
mouse1_lib1.final_cell_0004,0
mouse1_lib1.final_cell_0005,1
mouse1_lib1.final_cell_0006,6
mouse1_lib1.final_cell_0007,6
mouse1_lib1.final_cell_0008,6
mouse1_lib1.final_cell_0009,6
mouse1_lib1.final_cell_0010,4
mouse1_lib1.final_cell_0011,4
mouse1_lib1.final_cell_0012,6
mouse1_lib1.final_cell_0013,6
mouse1_lib1.final_cell_0014,1
mouse1_lib1.final_cell_0015,6
mouse1_lib1.final_cell_0016,4
mouse1_lib1.final_cell_0017,6
mouse1_lib1.final_cell_0018,3
mouse1_lib1.final_cell_0019,4
mouse1_lib1.final_cell_0020,4
mouse1_lib1.final_cell_0021,6
mouse1_lib1.final_cell_0022,6
mouse1_lib1.final_cell_0023,6
mouse1_lib1.final_cell_0024,1
mouse1_lib1.final_cell_0025,3
mouse1_lib1.final_cell_0026,2
mouse1_lib1.final_cell_0027,4
mouse1_lib1.final_cell_0028,4
mouse1_lib1.final_cell_0029,6
mouse1_lib1.final_cell_0030,4
mouse1_lib1.final_cell_0031,4
mouse1_lib1.final_cell_0032,4
mouse1_lib1.final_cell_0033,10
mouse1_lib1.final_cell_0034,6
mouse1_lib1.final_cell_0035,6
mouse1_lib1.final_cell_0036,4
mouse1_lib1.final_cell_0037,4
mouse1_lib1.final_cell_0038,4
mouse1_lib1.final_cell_0039,1
mouse1_lib1.final_cell_0040,6
mouse1_lib1.final_cell_0041,6
mouse1_lib1.final_cell_0042,4
mouse1_lib1.final_cell_0043,1
mouse1_lib1.final_cell_0044,2
mouse1_lib1.final_cell_0045,6
mouse1_lib1.final_cell_0046,6
mouse1_lib1.final_cell_0047,5
mouse1_lib1.final_cell_0048,4
mouse1_lib1.final_cell_0049,6
mouse1_lib1.final_cell_0050,4
mouse1_lib1.final_cell_0051,10
mouse1_lib1.final_cell_0052,6
mouse1_lib1.final_cell_0053,4
mouse1_lib1.final_cell_0054,4
mouse1_lib1.final_cell_0055,4
mouse1_lib1.final_cell_0056,6
mouse1_lib1.final_cell_0057,4
mouse1_lib1.final_cell_0058,2
mouse1_lib1.final_cell_0059,4
mouse1_lib1.final_cell_0060,6
mouse1_lib1.final_cell_0061,6
mouse1_lib1.final_cell_0062,4
mouse1_lib1.final_cell_0063,4
mouse1_lib1.final_cell_0064,2
mouse1_lib1.final_cell_0065,6
mouse1_lib1.final_cell_0066,6
mouse1_lib1.final_cell_0067,4
mouse1_lib1.final_cell_0068,6
mouse1_lib1.final_cell_0069,2
mouse1_lib1.final_cell_0070,4
mouse1_lib1.final_cell_0071,6
mouse1_lib1.final_cell_0072,6
mouse1_lib1.final_cell_0073,2
mouse1_lib1.final_cell_0074,6
mouse1_lib1.final_cell_0075,6
mouse1_lib1.final_cell_0076,4
mouse1_lib1.final_cell_0077,6
mouse1_lib1.final_cell_0078,4
mouse1_lib1.final_cell_0079,3
mouse1_lib1.final_cell_0080,6
mouse1_lib1.final_cell_0081,4
mouse1_lib1.final_cell_0082,4
mouse1_lib1.final_cell_0083,1
mouse1_lib1.final_cell_0084,5
mouse1_lib1.final_cell_0085,4
mouse1_lib1.final_cell_0086,6
mouse1_lib1.final_cell_0087,4
mouse1_lib1.final_cell_0088,4
mouse1_lib1.final_cell_0089,6
mouse1_lib1.final_cell_0090,4
mouse1_lib1.final_cell_0091,1
mouse1_lib1.final_cell_0092,2
mouse1_lib1.final_cell_0093,6
mouse1_lib1.final_cell_0094,6
mouse1_lib1.final_cell_0095,4
mouse1_lib1.final_cell_0096,1
mouse1_lib1.final_cell_0097,6
mouse1_lib1.final_cell_0098,4
mouse1_lib1.final_cell_0099,4
mouse1_lib1.final_cell_0100,2
mouse1_lib1.final_cell_0101,6
mouse1_lib1.final_cell_0102,2
mouse1_lib1.final_cell_0103,6
mouse1_lib1.final_cell_0104,4
mouse1_lib1.final_cell_0105,3
mouse1_lib1.final_cell_0106,6
mouse1_lib1.final_cell_0107,3
mouse1_lib1.final_cell_0108,6
mouse1_lib1.final_cell_0109,6
mouse1_lib1.final_cell_0110,3
mouse1_lib1.final_cell_0111,1
mouse1_lib1.final_cell_0112,7
mouse1_lib1.final_cell_0113,6
mouse1_lib1.final_cell_0114,6
mouse1_lib1.final_cell_0115,2
mouse1_lib1.final_cell_0116,7
mouse1_lib1.final_cell_0117,6
mouse1_lib1.final_cell_0118,6
mouse1_lib1.final_cell_0119,6
mouse1_lib1.final_cell_0120,2
mouse1_lib1.final_cell_0121,6
mouse1_lib1.final_cell_0122,1
mouse1_lib1.final_cell_0123,6
mouse1_lib1.final_cell_0124,7
mouse1_lib1.final_cell_0125,6
mouse1_lib1.final_cell_0126,3
mouse1_lib1.final_cell_0127,4
mouse1_lib1.final_cell_0128,6
mouse1_lib1.final_cell_0129,6
mouse1_lib1.final_cell_0130,6
mouse1_lib1.final_cell_0131,6
mouse1_lib1.final_cell_0132,6
mouse1_lib1.final_cell_0133,4
mouse1_lib1.final_cell_0134,6
mouse1_lib1.final_cell_0135,4
mouse1_lib1.final_cell_0136,1
mouse1_lib1.final_cell_0137,6
mouse1_lib1.final_cell_0138,6
mouse1_lib1.final_cell_0139,5
mouse1_lib1.final_cell_0140,4
mouse1_lib1.final_cell_0141,6
mouse1_lib1.final_cell_0142,6
mouse1_lib1.final_cell_0143,6
mouse1_lib1.final_cell_0144,6
mouse1_lib1.final_cell_0145,2
mouse1_lib1.final_cell_0146,1
mouse1_lib1.final_cell_0147,6
mouse1_lib1.final_cell_0148,6
mouse1_lib1.final_cell_0149,6
mouse1_lib1.final_cell_0150,6
mouse1_lib1.final_cell_0151,4
mouse1_lib1.final_cell_0152,6
mouse1_lib1.final_cell_0153,4
mouse1_lib1.final_cell_0154,6
mouse1_lib1.final_cell_0155,4
mouse1_lib1.final_cell_0156,1
mouse1_lib1.final_cell_0157,2
mouse1_lib1.final_cell_0158,6
mouse1_lib1.final_cell_0159,4
mouse1_lib1.final_cell_0160,7
mouse1_lib1.final_cell_0161,1
mouse1_lib1.final_cell_0163,6
mouse1_lib1.final_cell_0164,6
mouse1_lib1.final_cell_0165,4
mouse1_lib1.final_cell_0166,1
mouse1_lib1.final_cell_0167,10
mouse1_lib1.final_cell_0168,6
mouse1_lib1.final_cell_0169,6
mouse1_lib1.final_cell_0170,6
mouse1_lib1.final_cell_0171,6
mouse1_lib1.final_cell_0172,6
mouse1_lib1.final_cell_0173,6
mouse1_lib1.final_cell_0174,6
mouse1_lib1.final_cell_0175,4
mouse1_lib1.final_cell_0176,4
mouse1_lib1.final_cell_0177,6
mouse1_lib1.final_cell_0178,4
mouse1_lib1.final_cell_0179,6
mouse1_lib1.final_cell_0180,6
mouse1_lib1.final_cell_0181,6
mouse1_lib1.final_cell_0182,2
mouse1_lib1.final_cell_0183,4
mouse1_lib1.final_cell_0184,4
mouse1_lib1.final_cell_0185,4
mouse1_lib1.final_cell_0186,6
mouse1_lib1.final_cell_0187,2
mouse1_lib1.final_cell_0188,2
mouse1_lib1.final_cell_0189,10
mouse1_lib1.final_cell_0190,6
mouse1_lib1.final_cell_0191,6
mouse1_lib1.final_cell_0192,4
mouse1_lib1.final_cell_0193,4
mouse1_lib1.final_cell_0194,4
mouse1_lib1.final_cell_0195,3
mouse1_lib1.final_cell_0196,6
mouse1_lib1.final_cell_0197,6
mouse1_lib1.final_cell_0198,6
mouse1_lib1.final_cell_0199,6
mouse1_lib1.final_cell_0200,4
mouse1_lib1.final_cell_0201,4
mouse1_lib1.final_cell_0202,4
mouse1_lib1.final_cell_0203,2
mouse1_lib1.final_cell_0204,2
mouse1_lib1.final_cell_0205,1
mouse1_lib1.final_cell_0206,6
mouse1_lib1.final_cell_0207,3
mouse1_lib1.final_cell_0208,2
mouse1_lib1.final_cell_0209,6
mouse1_lib1.final_cell_0210,4
mouse1_lib1.final_cell_0211,6
mouse1_lib1.final_cell_0212,1
mouse1_lib1.final_cell_0213,6
mouse1_lib1.final_cell_0214,6
mouse1_lib1.final_cell_0215,4
mouse1_lib1.final_cell_0216,6
mouse1_lib1.final_cell_0217,1
mouse1_lib1.final_cell_0218,6
mouse1_lib1.final_cell_0219,6
mouse1_lib1.final_cell_0220,1
mouse1_lib1.final_cell_0221,4
mouse1_lib1.final_cell_0222,8
mouse1_lib1.final_cell_0223,6
mouse1_lib1.final_cell_0224,6
mouse1_lib1.final_cell_0225,1
mouse1_lib1.final_cell_0226,1
mouse1_lib1.final_cell_0227,4
mouse1_lib1.final_cell_0228,10
mouse1_lib1.final_cell_0229,6
mouse1_lib1.final_cell_0230,6
mouse1_lib1.final_cell_0231,10
mouse1_lib1.final_cell_0232,4
mouse1_lib1.final_cell_0233,2
mouse1_lib1.final_cell_0234,3
mouse1_lib1.final_cell_0235,2
mouse1_lib1.final_cell_0236,4
mouse1_lib1.final_cell_0237,3
mouse1_lib1.final_cell_0238,4
mouse1_lib1.final_cell_0239,4
mouse1_lib1.final_cell_0240,6
mouse1_lib1.final_cell_0241,6
mouse1_lib1.final_cell_0242,1
mouse1_lib1.final_cell_0243,6
mouse1_lib1.final_cell_0244,4
mouse1_lib1.final_cell_0245,1
mouse1_lib1.final_cell_0246,1
mouse1_lib1.final_cell_0247,6
mouse1_lib1.final_cell_0248,6
mouse1_lib1.final_cell_0249,4
mouse1_lib1.final_cell_0250,4
mouse1_lib1.final_cell_0251,2
mouse1_lib1.final_cell_0252,6
mouse1_lib1.final_cell_0253,3
mouse1_lib1.final_cell_0254,1
mouse1_lib1.final_cell_0255,4
mouse1_lib1.final_cell_0256,4
mouse1_lib1.final_cell_0257,6
mouse1_lib1.final_cell_0258,4
mouse1_lib1.final_cell_0259,6
